fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2020/01/12,15.259,20.70,10.60,99.7,100.0
2020/01/13,14.894,20.20,10.10,100.0,100.0
2020/01/14,14.560,21.60,8.50,99.7,100.0
2020/01/15,14.655,21.50,8.80,100.0,100.0
2020/01/16,15.291,20.80,10.30,99.7,100.0
2020/01/17,16.130,21.30,11.50,99.7,100.0
2020/01/18,15.919,21.00,11.70,99.0,100.0
2020/01/19,15.717,21.70,11.20,100.0,100.0
2020/01/20,13.303,19.60,10.60,100.0,100.0
2020/01/21,11.670,15.40,10.20,99.7,100.0
2020/01/22,11.642,14.60,9.90,99.7,100.0
2020/01/23,13.044,18.10,10.10,99.7,100.0
2020/01/24,12.677,19.30,9.30,99.7,100.0
2020/01/25,12.264,17.50,8.20,99.7,100.0
2020/01/26,12.070,17.50,9.50,99.7,100.0
2020/01/27,11.690,16.80,9.70,99.0,100.0
2020/01/28,11.893,17.20,8.10,99.7,100.0
2020/01/29,11.497,15.60,9.70,99.0,100.0
2020/01/30,13.058,18.50,10.20,100.0,100.0
2020/01/31,13.762,19.10,9.90,99.3,100.0
2020/02/01,11.602,14.20,9.30,99.7,100.0
2020/02/02,13.600,20.00,8.40,99.7,100.0
2020/02/03,14.437,20.50,10.00,99.7,100.0
2020/02/04,14.023,19.40,10.40,100.0,100.0
2020/02/05,13.580,21.90,7.30,99.3,100.0
2020/02/06,13.205,21.50,6.30,99.7,100.0
2020/02/07,12.968,20.00,8.00,99.3,100.0
2020/02/08,12.607,17.70,9.50,100.0,100.0
2020/02/09,13.240,19.30,10.20,100.0,100.0
2020/02/10,13.705,19.30,9.10,99.3,100.0
2020/02/11,13.826,22.00,8.00,99.0,100.0
2020/02/12,13.815,21.30,8.00,97.9,100.0
2020/02/13,14.213,21.30,8.70,100.0,100.0
2020/02/14,14.537,21.30,8.60,99.0,100.0
2020/02/15,14.528,20.80,9.40,99.7,100.0
2020/02/16,14.506,20.30,9.30,98.6,100.0
2020/02/17,15.188,21.10,10.20,100.0,100.0
2020/02/18,15.205,21.30,10.60,97.9,100.0
2020/02/19,14.880,20.20,10.80,99.7,100.0
2020/02/20,14.011,19.90,9.90,98.3,100.0
2020/02/21,12.340,17.40,10.70,99.0,100.0
2020/02/22,12.188,16.70,10.70,97.6,100.0
2020/02/23,12.888,19.60,10.10,99.0,100.0
2020/02/24,12.085,15.20,10.40,99.7,100.0
2020/02/25,12.679,18.00,10.50,99.0,100.0
2020/02/26,11.658,16.10,10.20,97.9,100.0
2020/02/27,12.118,16.40,9.90,98.3,100.0
2020/02/28,12.686,18.00,10.60,97.2,100.0
2020/02/29,13.273,20.10,9.10,99.0,100.0
2020/03/01,14.103,20.30,9.40,98.6,100.0
2020/03/02,13.836,20.80,9.80,98.6,100.0
2020/03/03,14.471,20.70,9.90,98.3,100.0
2020/03/04,14.650,21.20,9.00,95.8,95.8
2020/03/05,14.818,20.70,10.70,100.0,100.0
2020/03/06,12.799,19.10,10.50,97.9,100.0
2020/03/07,12.970,17.70,10.80,99.3,100.0
2020/03/08,13.835,19.10,9.40,99.7,100.0
2020/03/09,14.450,21.50,9.00,99.7,100.0
2020/03/10,13.212,18.50,10.30,100.0,100.0
2020/03/11,13.034,19.50,10.20,100.0,100.0
2020/03/12,13.452,19.20,9.80,99.0,100.0
2020/03/13,13.371,18.70,9.80,97.9,100.0
2020/03/14,12.324,16.60,10.70,100.0,100.0
2020/03/15,13.301,19.40,10.50,99.0,100.0
2020/03/16,13.243,17.60,10.80,99.0,100.0
2020/03/17,13.106,17.80,10.60,96.9,100.0
2020/03/18,13.576,20.10,8.80,99.0,100.0
2020/03/19,13.563,19.50,8.20,95.8,100.0
2020/03/20,12.004,17.50,9.70,98.6,100.0
2020/03/21,12.033,18.30,8.40,98.6,100.0
2020/03/22,12.630,19.80,6.90,97.9,100.0
2020/03/23,12.900,20.10,7.50,95.5,100.0
2020/03/24,13.717,20.40,9.90,95.2,100.0
2020/03/25,13.220,18.10,9.80,97.2,100.0
2020/03/26,13.538,19.60,10.30,98.3,100.0
2020/03/27,13.504,18.90,11.00,97.9,100.0
2020/03/28,13.176,18.60,10.30,98.3,100.0
2020/03/29,12.950,18.90,10.20,98.3,100.0
2020/03/30,12.501,16.30,9.80,98.3,100.0
2020/03/31,12.366,16.70,10.10,96.2,100.0
2020/04/01,12.344,18.00,10.50,96.2,100.0
2020/04/02,12.541,18.40,9.90,97.9,100.0
2020/04/03,14.309,20.50,9.10,97.9,100.0
2020/04/04,14.403,21.40,8.30,99.3,100.0
2020/04/05,13.983,21.00,10.50,97.6,100.0
2020/04/06,15.019,20.10,10.70,98.3,100.0
2020/04/07,13.907,18.60,11.00,97.9,100.0
2020/04/08,15.117,21.20,11.20,97.9,100.0
2020/04/09,14.298,20.00,10.00,99.0,100.0
2020/04/10,13.776,19.40,9.30,98.6,100.0
2020/04/11,12.230,17.50,10.30,98.3,100.0
2020/04/12,12.796,19.70,10.40,98.6,100.0
2020/04/13,12.199,17.00,9.40,97.2,100.0
2020/04/14,12.330,17.70,9.80,99.3,100.0
2020/04/15,10.767,15.70,9.00,97.6,100.0
2020/04/16,11.634,17.00,8.50,98.3,100.0
2020/04/17,12.280,19.00,8.40,97.6,100.0
2020/04/18,11.532,17.70,9.70,97.2,100.0
2020/04/19,11.978,19.80,7.70,97.9,100.0
2020/04/20,12.588,19.60,7.30,99.0,100.0
2020/04/21,12.754,18.50,8.20,97.6,100.0
2020/04/22,12.508,18.80,9.30,98.6,100.0
2020/04/23,12.240,18.40,9.90,99.0,100.0
2020/04/24,12.450,17.50,9.50,99.3,100.0
2020/04/25,12.493,18.50,9.90,99.0,100.0
2020/04/26,12.903,19.30,9.60,99.0,100.0
2020/04/27,13.248,19.00,9.10,99.7,100.0
2020/04/28,13.455,19.00,10.10,97.9,100.0
2020/04/29,13.452,19.30,9.70,99.3,100.0
2020/04/30,13.371,19.10,9.70,99.0,100.0
2020/05/01,13.343,19.00,10.20,99.0,100.0
2020/05/02,13.232,19.80,10.00,99.0,100.0
2020/05/03,13.058,19.00,9.00,98.3,100.0
2020/05/04,12.735,17.40,10.40,98.6,100.0
2020/05/05,13.568,18.00,9.00,98.3,100.0
2020/05/06,13.720,18.40,9.50,98.3,100.0
2020/05/07,14.272,20.30,10.80,96.9,100.0
2020/05/08,15.102,21.40,10.40,99.0,100.0
2020/05/09,15.166,21.40,10.40,97.6,100.0
2020/05/10,14.071,20.40,8.60,97.9,100.0
2020/05/11,13.322,19.60,10.70,97.2,100.0
2020/05/12,11.740,16.70,9.70,99.0,100.0
2020/05/13,11.887,16.80,9.60,98.3,100.0
2020/05/14,12.815,18.90,8.00,99.3,100.0
2020/05/15,14.450,20.90,8.30,98.6,100.0
2020/05/16,14.504,20.10,10.00,99.7,100.0
2020/05/17,14.477,19.60,10.10,98.6,100.0
2020/05/18,13.192,19.10,10.50,99.0,100.0
2020/05/19,13.646,20.10,9.00,99.3,100.0
2020/05/20,14.790,21.00,10.10,99.3,100.0
2020/05/21,14.518,20.70,9.60,98.3,100.0
2020/05/22,14.118,19.40,9.90,99.7,100.0
2020/05/23,14.733,20.90,9.00,97.6,100.0
2020/05/24,14.898,20.80,10.50,97.9,100.0
2020/05/25,15.082,20.70,10.90,99.3,100.0
