fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/06/26,2.208108,5.000000,0.400000,7.994311,98.6,100.0
2020/06/27,0.520000,1.000000,0.300000,295.749948,99.7,100.0
2020/06/28,1.816216,4.200000,0.300000,5.351293,97.6,100.0
2020/06/29,1.065000,2.000000,0.400000,172.953859,97.2,100.0
2020/06/30,0.600000,1.200000,0.300000,315.583139,99.7,100.0
2020/07/01,0.850000,1.400000,0.200000,310.641113,97.9,100.0
2020/07/02,1.560000,2.700000,0.200000,1.804744,100.0,100.0
2020/07/03,1.289189,2.700000,0.200000,134.402729,97.9,100.0
2020/07/04,0.980488,1.600000,0.100000,171.850434,98.3,100.0
2020/07/05,0.700000,0.900000,0.400000,313.678226,99.0,100.0
2020/07/06,0.945946,1.700000,0.200000,173.957311,99.3,100.0
2020/07/07,1.686111,3.800000,0.200000,262.818870,99.7,100.0
2020/07/08,2.431579,3.800000,0.400000,6.345319,98.6,100.0
2020/07/09,2.274603,4.500000,0.400000,92.553678,97.6,100.0
2020/07/10,1.690476,2.900000,0.200000,94.514587,99.3,100.0
2020/07/11,1.445946,2.800000,0.300000,139.853547,99.0,100.0
2020/07/12,0.000000,,,,99.3,100.0
2020/07/13,1.190323,2.800000,0.100000,179.874200,98.3,100.0
2020/07/14,0.986957,1.900000,0.400000,180.135031,98.3,100.0
2020/07/15,1.495918,2.900000,0.500000,224.695950,97.6,100.0
2020/07/16,1.924706,3.800000,0.600000,234.490767,99.0,100.0
2020/07/17,1.682292,3.100000,0.300000,230.424124,98.6,100.0
2020/07/18,0.200000,0.200000,0.200000,331.000000,100.0,100.0
2020/07/19,1.300000,2.800000,0.100000,1.930329,97.9,100.0
2020/07/20,1.372727,2.800000,0.700000,6.840675,99.0,100.0
2020/07/21,1.271053,3.200000,0.100000,135.108244,99.3,100.0
2020/07/22,0.525000,0.900000,0.200000,316.541697,99.3,100.0
2020/07/23,0.866667,1.400000,0.300000,174.775926,98.6,100.0
2020/07/24,1.845455,3.500000,0.100000,264.343475,99.7,100.0
2020/07/25,1.085714,2.300000,0.100000,270.764370,99.0,100.0
2020/07/26,2.963636,6.100000,0.700000,91.630432,99.3,100.0
2020/07/27,0.687500,1.100000,0.100000,308.743768,99.0,100.0
2020/07/28,0.947368,2.300000,0.400000,179.603389,99.3,100.0
2020/07/29,0.973684,1.700000,0.200000,317.997584,97.9,100.0
2020/07/30,2.441667,4.100000,0.900000,137.344166,97.6,100.0
2020/07/31,3.066176,6.700000,0.100000,128.442226,98.6,100.0
2020/08/01,3.873950,7.400000,1.200000,132.204045,99.0,100.0
2020/08/02,3.933333,5.500000,1.600000,102.379260,99.0,100.0
2020/08/03,1.395652,2.300000,0.500000,257.797401,99.3,100.0
2020/08/04,4.390476,6.000000,0.500000,49.370147,99.3,100.0
2020/08/05,1.820833,3.300000,0.400000,182.271170,99.7,100.0
2020/08/06,1.144737,2.000000,0.200000,262.359838,97.6,100.0
2020/08/07,1.429231,2.900000,0.500000,229.671234,99.0,100.0
2020/08/08,1.699029,3.400000,0.700000,233.388757,99.7,100.0
2020/08/09,3.456667,5.900000,0.500000,127.476148,99.3,100.0
2020/08/10,0.866667,0.900000,0.800000,322.675113,99.3,100.0
2020/08/11,3.360000,6.400000,0.600000,9.649235,99.3,100.0
2020/08/12,2.360976,5.800000,0.400000,7.283917,97.9,100.0
2020/08/13,2.273333,5.500000,0.400000,6.890831,99.3,100.0
2020/08/14,2.974510,6.200000,0.400000,36.261761,98.6,100.0
2020/08/15,2.688608,5.600000,0.100000,46.339912,99.7,100.0
2020/08/16,1.397143,2.900000,0.500000,228.664090,99.0,100.0
2020/08/17,1.193750,1.800000,0.600000,179.638285,97.9,100.0
2020/08/18,1.423636,3.500000,0.300000,132.062576,100.0,100.0
2020/08/19,0.878571,1.300000,0.400000,172.924619,95.9,100.0
2020/08/20,0.971429,2.000000,0.200000,268.536221,99.7,100.0
2020/08/21,1.930000,4.200000,0.400000,41.530472,99.7,100.0
2020/08/22,1.605455,3.200000,0.300000,135.688244,99.0,100.0
2020/08/23,1.625926,4.600000,0.500000,141.319809,97.2,100.0
2020/08/24,0.970588,2.000000,0.300000,181.873047,99.3,100.0
2020/08/25,2.165000,3.900000,1.200000,82.060032,99.3,100.0
2020/08/26,3.138095,5.100000,0.400000,83.931506,99.3,100.0
2020/08/27,1.100000,1.600000,0.600000,313.062355,99.7,100.0
2020/08/28,2.669863,6.900000,0.500000,6.526568,99.0,100.0
2020/08/29,0.955102,1.700000,0.200000,177.807740,98.6,100.0
